class_id,person,safe_label,support,predicted,true_positive,false_positive,false_negative,accuracy,precision,recall,f1,mean_true_score
174,Shinzo Abe,Shinzo_Abe,3,3,3,0,0,1.000000,1.000000,1.000000,1.000000,0.837506
175,Sigourney Weaver,Sigourney_Weaver,4,3,3,0,1,0.750000,1.000000,0.750000,0.857143,0.618734
176,Silvio Berlusconi,Silvio_Berlusconi,13,14,13,1,0,1.000000,0.928571,1.000000,0.962963,0.875024
177,Simon Cowell,Simon_Cowell,14,15,14,1,0,1.000000,0.933333,1.000000,0.965517,0.886382
178,Stephen Colbert,Stephen_Colbert,16,16,16,0,0,1.000000,1.000000,1.000000,1.000000,0.881667
179,Stephen Fry,Stephen_Fry,7,6,6,0,1,0.857143,1.000000,0.857143,0.923077,0.593889
180,Steve Carell,Steve_Carell,12,13,12,1,0,1.000000,0.923077,1.000000,0.960000,0.786585
181,Steve Martin,Steve_Martin,8,6,5,1,3,0.625000,0.833333,0.625000,0.714286,0.660286
182,Steven Spielberg,Steven_Spielberg,10,10,10,0,0,1.000000,1.000000,1.000000,1.000000,0.840388
183,Susan Sarandon,Susan_Sarandon,4,5,2,3,2,0.500000,0.400000,0.500000,0.444444,0.567469
184,Tiger Woods,Tiger_Woods,8,9,8,1,0,1.000000,0.888889,1.000000,0.941176,0.855734
185,Tina Fey,Tina_Fey,12,10,8,2,4,0.666667,0.800000,0.666667,0.727273,0.736235
186,Tom Cruise,Tom_Cruise,14,8,8,0,6,0.571429,1.000000,0.571429,0.727273,0.667544
187,Tom Hanks,Tom_Hanks,11,9,9,0,2,0.818182,1.000000,0.818182,0.900000,0.777710
188,Tony Blair,Tony_Blair,9,10,9,1,0,1.000000,0.900000,1.000000,0.947368,0.814547
189,Tracy Morgan,Tracy_Morgan,5,4,4,0,1,0.800000,1.000000,0.800000,0.888889,0.800963
190,Ty Pennington,Ty_Pennington,8,7,7,0,1,0.875000,1.000000,0.875000,0.933333,0.777218
191,Tyra Banks,Tyra_Banks,11,11,10,1,1,0.909091,0.909091,0.909091,0.909091,0.825142
192,Uma Thurman,Uma_Thurman,11,14,8,6,3,0.727273,0.571429,0.727273,0.640000,0.717275
193,Victoria Beckham,Victoria_Beckham,24,28,20,8,4,0.833333,0.714286,0.833333,0.769231,0.827114
194,Viggo Mortensen,Viggo_Mortensen,12,11,10,1,2,0.833333,0.909091,0.833333,0.869565,0.716472
195,Will Smith,Will_Smith,12,12,11,1,1,0.916667,0.916667,0.916667,0.916667,0.892936
196,William Macy,William_Macy,2,0,0,0,2,0.000000,0.000000,0.000000,0.000000,0.492683
197,Wilmer Valderrama,Wilmer_Valderrama,3,4,3,1,0,1.000000,0.750000,1.000000,0.857143,0.911656
198,Zac Efron,Zac_Efron,13,15,11,4,2,0.846154,0.733333,0.846154,0.785714,0.824755
199,Zach Braff,Zach_Braff,7,6,5,1,2,0.714286,0.833333,0.714286,0.769231,0.714254
